Q1-2025,Q2-2025,Q3-2025,Q4-2025,total_revenue,month
1025100.0000000001,0.0,0.0,0.0,1025100.0000000001,0
1012798.8000000002,0.0,0.0,0.0,1012798.8000000002,1
1000865.5210876134,0.0,0.0,0.0,1000865.5210876134,2
989282.80437473,1093440.0000000002,0.0,0.0,2082722.8043747302,3
978034.3993104111,1080318.7200000002,0.0,0.0,2058353.1193104112,4
967105.0750774292,1067589.889160121,0.0,0.0,2034694.9642375503,5
956480.5404498181,1055234.9913330455,1161780.0000000002,0.0,3173495.5317828637,6
946147.3711762606,1043236.6925977718,1149000.4200000002,0.0,3138384.4837740324,7
936092.9440711178,1031578.7467492579,1136571.7467730714,0.0,3104243.437593447,8
926305.3770955753,1020245.9098131394,1124478.7586935663,1366800.0000000002,4437830.045602281,9
916773.4747982859,1009223.8625880112,1112707.1289356467,1353132.0,4391836.466321943,10
907486.6785600695,998499.1403425257,1101243.359523702,1339805.7,4347034.878426298,11
898435.0211524372,988059.0689019469,1090074.7211966175,1326807.5849999997,4303376.396251001,12
889609.0851763807,977891.706451505,1079189.1984919303,1314124.8654374997,4260814.855557315,13
880999.9649972547,967985.7904640741,1068575.4395246438,1301745.4282993202,4219306.623285293,14
872599.2318346892,958330.6892292664,1058222.7099953739,1289657.7921793978,4178810.423238727,15
864398.9017041946,948916.3575214727,1048120.8510147771,1277851.0659129666,4139287.176153411,16
856391.4059401891,939733.2959970715,1038260.2403769406,1266314.9104568078,4100699.852771009,17
848569.5640592367,930772.5139570017,1028631.7569545086,1255039.5037198637,4063013.3386906106,18
840926.5587478488,922025.495151141,1019226.7479235305,1244015.508079081,4026194.3099016016,19
833455.912781752,913484.1663362017,1010036.9985570067,1233234.0403423954,3990211.118017356,20
826151.4677034401,905140.8683298525,1001054.7043534213,1222686.6439447298,3955033.684331444,21
819007.364102457,896988.3293310388,992272.4452906887,1212365.2631841577,3920633.4019083423,22
812018.0233584754,889019.6403005355,983683.1620172887,1202262.2193242894,3886983.045000589,23
805178.1307211148,881228.2322170028,975280.1338112867,1192370.1884057983,3854056.6851552026,24
798482.619612773,873607.8550426208,967056.9581547409,1182682.1806250012,3821829.613435136,25
791926.6570517418,866152.5582490405,959007.5317859325,1173191.5211508498,3790278.2682375647,26
785505.6301026738,858856.6727691891,951126.0331051628,1163891.8322636783,3759380.168240704,27
779215.1332702294,851714.7942536245,943406.9058217327,1154777.016709806,3729113.8500553924,28
773050.9567595725,844721.767521858,935844.8437403141,1145841.242175742,3699458.8101974865,29
767009.0755343975,837872.6721095187,928434.776594419,1137078.926794398,3670395.451032733,30
761085.6391094784,831162.808821578,921171.8568431607,1128484.72560351,3641905.030377727,31
755276.9620203847,824587.6872102107,914051.4473551296,1120053.5178834836,3613969.6144692088,32
749579.5149181033,818143.0139033573,907069.1099100556,1111780.3953082077,3586572.034039724,33
743989.9162408939,811824.681716777,900220.5944550855,1103660.6508480916,3559695.843260848,34
738504.9244198363,805628.7594884103,893501.8290580563,1095689.7683697443,3533325.2813360468,35
